,M_u_-10d,M_u_0d,M_u_10d,M_u_20d,M_u_30d,M_u_40d,M_g_-10d,M_g_0d,M_g_10d,M_g_20d,M_g_30d,M_g_40d,M_r_-10d,M_r_0d,M_r_10d,M_r_20d,M_r_30d,M_r_40d,M_i_-10d,M_i_0d,M_i_10d,M_i_20d,M_i_30d,M_i_40d,M_z_-10d,M_z_0d,M_z_10d,M_z_20d,M_z_30d,M_z_40d,M_y_-10d,M_y_0d,M_y_10d,M_y_20d,M_y_30d,M_y_40d,object_id,i-y_new,r-i_new
831,-15.44148539041607,-14.917906914702662,-13.711229566239972,,,,-16.691939519494177,-16.620284838006164,-16.49270404266783,-16.309768640024608,-16.066560048206945,-15.755803150028036,-17.418436873133253,-17.44826729892683,-17.44078898697294,-17.369870837551154,-17.19208433475064,-16.90654287893141,-17.67528290460455,-17.704280690347808,-17.68781913755624,-17.60743277991913,-17.444025749028107,-17.18544626115247,-17.721859869307984,-17.74102377229105,-17.716682450246175,-17.6386977039677,-17.493892979854145,-17.267672548187143,-17.66954056562468,-17.679596991222702,-17.65114683117543,-17.576636787308026,-17.44739544710074,-17.254894995798985,forodrim_lost_riel,-0.024701923079007315,0.2544320476522728
832,-19.668030537491138,-19.687515229612075,-19.67354573073553,-19.63670698609964,-19.584500747418616,-19.52102748089156,-19.489700657933327,-19.51586836643058,-19.50440996494083,-19.46629870201825,-19.41455096768702,-19.353262906886187,-19.09453231902752,-19.119220385611385,-19.110462536407027,-19.07692535482407,-19.029444437059595,-18.97396395606455,-18.808919417507383,-18.81289822307116,-18.78539672362706,-18.730326124144085,-18.658015216316457,-18.58385095912115,-18.7618865360363,-18.739598032493603,-18.70345150274727,-18.653931811375895,-18.59411421959433,-18.530768234482835,-18.790273861158695,-18.76089948285241,-18.72530385783361,-18.683571320700665,-18.636005387014933,-18.58459123923008,galad_gwarth_ulug,0.024907487879303858,-0.3050738131135091
833,-17.32991233072776,-17.540603429956043,-17.396122199964402,-16.198981127781998,,,-18.37681490003164,-18.491315773729035,-18.28524878521481,-17.524418264546007,-13.865367197927403,,-19.02791593793922,-19.094714875935686,-18.856170779623547,-18.277146699454896,-17.342028262228872,-16.971349763388552,-18.96772042272207,-19.152500564065456,-19.018704645465185,-18.61729392719986,-18.12010959611515,-17.908921208378167,-18.735982677854913,-19.014522390935504,-18.985485163931067,-18.731378689015763,-18.42120088424668,-18.25213685825461,-18.504271670073912,-18.82720946730729,-18.872498540093893,-18.7292007870035,-18.535193404551187,-18.397802334968368,galvorn_firion_imloth,-0.26897484917749637,0.05061770287598222
834,,,,,,,-19.33832413352262,-19.32692444094826,-19.312481522283207,-19.294887156618216,-19.27402320384182,-19.24976078730448,-20.031852368018832,-20.03280430886295,-20.03175293254425,-20.028469164122967,-20.022687558282172,-20.01410015738402,-17.496437185833628,-17.399915845443147,-17.313632615519353,-17.24272006297585,-17.188928573798762,-17.151263630700882,,,,,,,,,,,,,gil_lebed_gli,-0.20356885369004374,-1.161629266659645
835,-18.546804906639196,-18.548783183796616,-18.546966980055885,-18.540794555478115,-18.529778687764477,-18.5135673064689,-18.509071508712907,-18.51147136420053,-18.50963055513327,-18.50252963948961,-18.48894036230554,-18.46768118429047,-18.286597311747457,-18.276778330075945,-18.26216815197756,-18.241843894042105,-18.212247597908075,-18.172324763030076,-17.941589273643203,-17.911749774145193,-17.87000724754968,-17.81406564827877,-17.743683100353493,-17.659015252552777,-17.491039753964557,-17.43728692986072,-17.36929210286219,-17.28528517582845,-17.18360265382306,-17.062694490311287,-16.966631467651496,-16.887999659283864,-16.793013449768594,-16.679413934895535,-16.543405975418963,-16.379337813669096,gil_lembas_thor,-0.13453854546514776,-0.3109572398199276
836,-17.691548837133382,-17.529694522048175,-16.976527043681898,-15.552446316932745,,,-18.411995976042977,-18.517360134283223,-18.18200678112315,-17.474345638871213,-15.932933485017912,,-18.85323494975735,-19.07534118956812,-18.80216986658803,-18.257006214233144,-17.48906577660604,-16.711546143009755,-18.916520007746183,-19.13261872874382,-18.951272787801656,-18.540688195573452,-17.999782724920507,-17.481807588047403,-18.822226877358645,-19.03045114276441,-18.919430764226338,-18.61876086731897,-18.202327758896885,-17.781249238359692,-18.67785717801786,-18.88518083584775,-18.8274619851327,-18.605728832559436,-18.26630250135787,-17.89934997734902,glamor_idhren_lasguil,-0.24118051027055287,0.057277539175700554
837,-14.75169928196764,-14.855584002043976,-14.948341787255425,-15.037700113197694,-15.124012318677709,-15.20425511469346,-14.493374991042709,-14.581212676711168,-14.663191374145091,-14.732275056074291,-14.78515359975514,-14.828506459803428,-18.01398937620825,-18.016110643092524,-18.013965195369245,-18.007332334484026,-17.996301356985818,-17.98119934178829,-13.925765861843637,-13.836739148000866,-13.762034029445624,-13.700967705081048,-13.647840530947754,-13.60505911584216,,,,,,,,,,,,,glaur_gaurwaith_nur,0.5565524302905942,-2.8929064811970733
838,-18.864348885909813,-18.86446910341106,-18.864682330730197,-18.86540340318185,-18.867074704408445,-18.87004374665441,-19.519247562324686,-19.518181947132767,-19.516125902313924,-19.51333088773533,-19.51005426052227,-19.506548158133818,-20.098255132443303,-20.09635479341292,-20.092141437513085,-20.08582960863703,-20.077682875922314,-20.06803455281237,-20.375726392732822,-20.375556989632607,-20.37223671740704,-20.36619345439434,-20.357879432803237,-20.34776161090378,-20.383880579001307,-20.38501486351135,-20.383938962578064,-20.38089183595718,-20.37615976361746,-20.37006256432442,-20.292590268859023,-20.29618007175305,-20.298063240197173,-20.298368736993854,-20.29724156714422,-20.294824069748863,gli_haust_lhug,-0.07761577898028804,0.2777017549215657
839,-19.35336556827464,-19.39690185976464,-19.426366880776,-19.458311934870057,-19.49658529548246,-19.536299922737346,-20.409874538893717,-20.41990542503288,-20.41215204255296,-20.403947475246653,-20.39628268991019,-20.385105280173537,-21.269897035250253,-21.274695568875075,-21.25414452502939,-21.220255592606847,-21.176778197599106,-21.124631895748735,-21.693844090978345,-21.701967724933084,-21.683521501373093,-21.64104990058422,-21.58262172095077,-21.5135014202648,-21.79174954969865,-21.805531225852988,-21.794220130940616,-21.76167433116109,-21.71202672073852,-21.649267973385193,-21.750545841263744,-21.76819929505548,-21.764530858118704,-21.742207357221105,-21.70395731820082,-21.652440036988978,gondrath_luithien_cugu,0.06664877031556671,0.426059559418249
840,-17.2931310713654,-17.29048964968768,-17.28662960955733,-17.281552335770506,-17.27521933140347,-17.267550618303694,-17.394627539808276,-17.393120104250933,-17.390907633825996,-17.3880119059909,-17.38441638661525,-17.38006409156504,-17.43383428847533,-17.434087030453405,-17.433889632280035,-17.433294316413075,-17.432315264940662,-17.43092521547009,-17.388574039573804,-17.39070306227837,-17.392409588775088,-17.393787115705486,-17.394902179187987,-17.395791303833285,-17.30075610496069,-17.304864229227213,-17.308574995109574,-17.312000247808705,-17.315236425117142,-17.318363048169978,-17.190785403844167,-17.196820472295848,-17.202413506802166,-17.20765351574446,-17.21260843301824,-17.21731926521729,graw_bronwe_uan,-0.1604548166837958,-0.03715699920952886
841,-17.603923579777224,-17.606228287634885,-17.60760119823339,-17.608109330618454,-17.607820907943726,-17.606815872933844,-17.678512018525844,-17.67902633311551,-17.678572765063684,-17.677387604101675,-17.67566195890955,-17.673442012492906,-17.6405321109227,-17.6437943164431,-17.64573072334796,-17.646492023008854,-17.646227390587306,-17.645090417182878,-17.45700784382175,-17.461455920874165,-17.465013246950754,-17.467821072243986,-17.470025734876067,-17.471775538893773,-17.278357101095487,-17.28207435161095,-17.285201014004706,-17.287949551408424,-17.29053095283522,-17.29315241156005,-17.12808102652469,-17.13362605208794,-17.13864080910971,-17.143247394644952,-17.14755746106625,-17.151669041785958,graw_romru_navaer,-0.24137589768973555,-0.16727235138463925
842,-19.8531541128062,-19.86053368036236,-19.854403506869467,-19.83656493265901,-19.808274399506153,-19.770385799045947,-19.751415181478528,-19.76251477096138,-19.760978362122938,-19.747619479463275,-19.723280069476452,-19.688674748366857,-19.49202725866848,-19.50710527974575,-19.5107477019451,-19.50342389347147,-19.485534340191357,-19.45739740406271,-19.19496273061157,-19.21085004649003,-19.216324148119774,-19.211728388218965,-19.19731655364935,-19.17325683396414,-18.917754287934407,-18.931674858597383,-18.93635634760428,-18.932016682452733,-18.91880882265037,-18.89682510329734,-18.662338711322725,-18.673211226898324,-18.67598156660052,-18.67077854776543,-18.657690591556808,-18.63677020904968,grond_aran_melethril,-0.5402552731898425,-0.29458644287667823
843,-19.943447189580446,-19.94977530806309,-19.94332378682629,-19.92106644192473,-19.886114383652465,-19.84327517419124,-19.825652684844226,-19.826413793815085,-19.816324266852725,-19.79220275202683,-19.75428028004547,-19.7062035380064,-19.543073486771895,-19.548008756565142,-19.5418710902671,-19.516494659235825,-19.474484991470028,-19.42287656394779,-19.207068801329378,-19.180928629634177,-19.148114071642404,-19.10246710644646,-19.045758328202915,-18.99361523223218,-18.635853648432963,-18.574622620309476,-18.501960428636984,-18.426175128747023,-18.362790533466615,-18.33282941385891,-17.88389436081848,-17.76460252353244,-17.647215590220007,-17.54828373745442,-17.496151913098466,-17.519707408772057,gwador_Sindarin_faun,-0.763259095975954,-0.3144367845325178
844,-18.38807251570804,-18.395737827636147,-18.40197834780225,-18.406823284276193,-18.410300945092807,-18.41243889099146,-18.717460857863564,-18.72292151669162,-18.727281519234783,-18.730581374852385,-18.732858168908244,-18.734145300547887,-19.006823260713283,-19.00961393397987,-19.011494400934104,-19.01255674762124,-19.012880371754243,-19.012532202037143,-19.1204396084673,-19.120757847841524,-19.12039508416959,-19.11941368921624,-19.11786264072783,-19.115778659814374,-19.09691926950827,-19.099076632105145,-19.10049521879727,-19.101238551650987,-19.10136303921383,-19.100918200815492,-19.00523464780664,-19.010217425318608,-19.014447650798452,-19.0179732622856,-19.02084081225349,-19.023094902372858,gwael_Mirion_hend,-0.09398039625502008,0.10787747608728182
845,-16.420195989556916,-16.41319437483611,-16.361414153931136,-16.287646010787867,-16.20890009111278,-16.12593039700363,-16.617732107552214,-16.613018157492093,-16.55181504392064,-16.47177472951809,-16.398764837138486,-16.32981094297483,-16.820032454103,-16.832723435678062,-16.76700869728498,-16.682163403668085,-16.61472128783035,-16.555113526865398,-16.883871751974283,-16.933922042217816,-16.89717311954739,-16.82626807778894,-16.756254633780287,-16.695097330910556,-16.76577463823149,-16.866851323058313,-16.87830765525763,-16.84246820831727,-16.79156631615946,-16.738896740125753,-16.583127750787384,-16.718985096938837,-16.771927081441873,-16.77254642272709,-16.74658415970876,-16.706740254523154,gwaloth_luith_parf,-0.15698608055615182,0.094707507986584
846,-18.617989723454635,-19.13706936611313,-18.966801343876348,-18.52826961953551,-17.936454813117273,-17.186429197578228,-18.70817857587189,-19.26867485286953,-19.08532299751769,-18.666985066515103,-18.081993543314404,-17.293052669967757,-18.713279210836426,-19.324290389781517,-19.172595789145923,-18.834428975042364,-18.251558738575405,-17.381605497307824,-18.565582456560485,-19.22185345965709,-19.17046655265063,-18.939252731603386,-18.336035000695095,-17.391673373145103,-18.3353827744722,-19.03689949547853,-19.09275524452959,-18.91616595006618,-18.30671092439197,-17.33858657428255,-18.097178471231523,-18.83181345388207,-18.967195797669625,-18.813815016632724,-18.20631883573885,-17.252796720471814,gwarth_heleg_thul,-0.2721803710953452,-0.082593283093928
847,-16.118535002866984,-16.074883811097187,-16.029647701111138,-15.98442588752264,-15.941180406507565,-15.90203545409404,-17.825523305387428,-17.80943524896471,-17.79208482270068,-17.773865371592414,-17.755139050162093,-17.73623098114802,-18.826662987205378,-18.81632078475553,-18.805418284625553,-18.794325656091058,-18.78344850119785,-18.773177784422252,-19.397324382376617,-19.39025437308738,-19.382406594743298,-19.37398394742926,-19.36516988918816,-19.35612706414459,-19.56092267002527,-19.558023902223542,-19.554282726717553,-19.54985881636612,-19.544918296439796,-19.539632833304218,-19.58650084414763,-19.58696747892622,-19.58660370307144,-19.585470497493297,-19.583647550303233,-19.581221671949727,gwaun_ungol_dunedhel,0.17393074072596448,0.5534231372725316
848,-14.383126413745437,-14.445275059386084,-14.923674240024589,-14.904074320424732,-14.134737266574028,,-15.982719450889554,-15.950740812422003,-16.096452992047297,-15.961573773772294,-15.398904555914989,-14.093828350357406,-16.984541552294978,-16.967819858821947,-16.997520737524916,-16.78453268728449,-16.276966901844865,-15.345829945302306,-17.58972045359983,-17.597396135289365,-17.54781270113086,-17.273757815451923,-16.784919154358583,-16.09454311678224,-17.91464794847321,-17.948633749283722,-17.85016037118931,-17.54267173379572,-17.068562166124842,-16.495276506825626,-18.06184253553068,-18.101444464056335,-17.981611540094768,-17.67291975027252,-17.219602957737997,-16.690969209519274,hador_soga_ah,0.14238077602271915,0.47281122185452773
849,-16.773949013470677,-16.204412692852678,-14.709543774580888,,,,-17.786146873511306,-17.662275891160327,-17.372070301642047,-16.912017372776965,-16.094079979723325,-14.308275034201436,-18.39497479285206,-18.440902299021012,-18.368588173348535,-18.08868529135109,-17.606014852735306,-16.994817509209007,-18.484199373741724,-18.518824777093236,-18.480969522352545,-18.33429667982993,-18.081674984770167,-17.78917529140427,-18.39436723010667,-18.418299557009952,-18.392221590476275,-18.308332611856976,-18.171765864603664,-17.99773468958592,-18.259101675106997,-18.28043456008094,-18.262996362331982,-18.207713004779897,-18.11809249818352,-17.991712486913535,heledir_bregedur_law,-0.23837726493118794,0.07792247807222452
850,-14.02232565245113,-14.13438363345233,-14.04876267123987,-13.725358988244396,-13.280733808142983,-12.891170621200416,-14.158362327052076,-14.2684860885565,-14.183810108824517,-13.850985808608767,-13.447639670391013,-13.191733284212674,-14.284206256153157,-14.37492943667199,-14.287106022671551,-13.951072130942762,-13.606227118981138,-13.501058336225626,-14.340646776281702,-14.393475163218085,-14.29051309185644,-13.973488444059598,-13.677888258812573,-13.633341785438247,-14.343636114603283,-14.354133759562018,-14.233442814882338,-13.940862762569807,-13.679541185447787,-13.649167268836564,-14.306139496433232,-14.282054718255807,-14.146608748393902,-13.874784968438703,-13.635477813998747,-13.608181991353945,heleg_raegdan_dagnir,-0.08598346003793722,0.0159688088519232
851,-17.478660323268407,-17.594490966892018,-17.69270222829477,-17.776257235292952,-17.84733839392448,-17.907598781223562,-18.930889134547463,-18.962488649338447,-18.98977103252576,-19.012981208675846,-19.03234071963994,-19.04804681294508,-19.674335448957684,-19.685254934526206,-19.69321078482933,-19.698433419173604,-19.70111996896555,-19.701437922760057,-19.91678158509678,-19.920703359607607,-19.92208815064057,-19.92110273549688,-19.917894691381015,-19.912594185744332,-19.942226454025626,-19.94321333905554,-19.942071634005664,-19.93889469920557,-19.93377421242676,-19.926799471559825,-19.889382609089203,-19.888465369409495,-19.8858680818933,-19.881654231701567,-19.875888154432737,-19.868635813560836,helegnen_glamog_myril,-0.03200760052726537,0.22050829507993797
852,-18.508176719963103,-18.46332367302911,-16.717138643395828,,,,-18.735438862621976,-18.88232022989899,-18.105139607549035,-16.89263603804629,-16.033667117032408,-15.904330087218923,-18.844372595521065,-19.10248105694366,-18.62357120225927,-17.913287474468532,-17.22723426401518,-16.79477999634574,-18.765231289433416,-19.02587018284595,-18.566792455276214,-17.982459814443416,-17.55449489641674,-17.182129669495083,-18.57596232094602,-18.69978290666536,-18.125785910858085,-17.704987433669714,-17.548104642889953,-17.294766253954805,-18.32161079511336,-18.2999371877506,-17.59351311264254,-17.387157998896285,-17.448275346930643,-17.280143038334643,heron_soga_cabed,-0.6072550502097869,-0.07661087409771028
853,-20.166733814430593,-20.160336115757183,-20.15070010255159,-20.13792546972352,-20.122488321593305,-20.104418587939627,-20.377303766548543,-20.38179396445978,-20.382114572565975,-20.377149813136775,-20.365436202913365,-20.346262569710525,-20.421880751427757,-20.423800143398132,-20.42126422047688,-20.413779618611574,-20.400929921432443,-20.382388141874294,-20.336785933336436,-20.331586099577585,-20.3223438728373,-20.308785247676475,-20.290634561977335,-20.267611104224265,-20.21018795009946,-20.19853237076743,-20.182972096265537,-20.163329273482113,-20.139387248127143,-20.1108894452262,-20.051166560646145,-20.03547188486659,-20.01589253685089,-19.992251802793724,-19.964338633236373,-19.93189909066445,hu_lembas_corch,-0.14518621927598474,-0.08556381883016684
854,-16.44815129443611,-16.430936698059362,-16.413016900456334,-16.40928295814465,-16.422234480216026,-16.44693204867057,-16.95324598822308,-16.953189745664297,-16.941884359677367,-16.93601262426872,-16.940704280162088,-16.951524134521314,-17.356532577244117,-17.3714794210593,-17.384872885302478,-17.3968367801263,-17.404902573890404,-17.406427564055058,-17.573596386998013,-17.58841041559773,-17.601313211387996,-17.61107006917897,-17.61496107690342,-17.608771942022507,-17.6177380512189,-17.619620231700914,-17.617692964316596,-17.61192671076025,-17.599917222892664,-17.578273007883773,-17.57729961379723,-17.569818086692102,-17.557220658411588,-17.53920160806694,-17.514783935745832,-17.482505347249592,hud_dannas_cuin,-0.03551083261974952,0.20815981068759015
855,-16.948181557682098,-17.027740247608826,,,,,-17.340809409369406,-17.418249663875393,,,,,-17.85171859300697,-17.920809099846473,,,,,-18.240244591922483,-18.29459832741508,,,,,-18.411021479269884,-18.460452331104,,,,,-18.401587604638685,-18.44308459639324,,,,,hul_dagnir_ablad,0.14848626897816075,0.3737892275686079
856,-16.824878111622937,-16.84554965455854,-16.863173003297277,-16.87773941212636,-16.889244203804665,-16.897683944022972,-18.335206619730627,-18.339195131617274,-18.341112411691256,-18.340964226104063,-18.338761983917905,-18.334523100627905,-19.437716697220083,-19.43988303709547,-19.440907877126943,-19.44085925156712,-19.439800885518665,-19.437791112365502,-19.974447670667946,-19.975199052347776,-19.975066262399626,-19.974154941003462,-19.972571379170347,-19.97042311054092,-20.247118442718342,-20.247437306088116,-20.24720915934589,-20.24647882398942,-20.24529005325141,-20.24368474756875,-20.346423323821213,-20.346656116237128,-20.346430999624246,-20.345763770886737,-20.34466926731068,-20.34316117735466,hul_rochben_lembas,0.37140886302688614,0.5342336015507101
857,-15.343886651788978,-15.417891691580849,-15.451309433167197,-15.455212641273988,-15.436379131017503,-15.398660557188975,-15.612160583342742,-15.661509180906222,-15.676030358484551,-15.665985895587797,-15.635360390973474,-15.586953193317145,-15.85547704334327,-15.892110959556106,-15.894632082771269,-15.870606007340172,-15.825975322986352,-15.764756652755397,-15.996467865188803,-16.013636494312607,-16.000748290090456,-15.96495775375,-15.911150789772876,-15.84271491789383,-15.988702683329592,-16.001781320522227,-15.988242187370162,-15.95301155120049,-15.900297762455963,-15.833258422082295,-15.896774463731049,-15.911157917483251,-15.9021474944997,-15.87287916869235,-15.826444182196866,-15.765519505864049,hul_uanui_thamas,-0.10237620571989225,0.11642331886258717
858,-19.25818515977128,-19.253224712611093,-19.246835905378283,-19.238984661484288,-19.229634108221724,-19.218745838647756,-19.53897041875937,-19.535932107682235,-19.53176993791836,-19.52643833116519,-19.51988367691852,-19.512043877462396,-19.78643199392129,-19.784552377034792,-19.781837601200188,-19.778244057048777,-19.773721113858052,-19.76821021653209,-19.90062645548999,-19.89950593771903,-19.89756469236061,-19.89476835937834,-19.89108149969666,-19.88646961144645,-19.936223369059626,-19.936571500010736,-19.936200732726867,-19.935076620302233,-19.933159045791093,-19.93040136774774,-19.917754677313532,-19.918517555490716,-19.918614426219825,-19.918009434458007,-19.91666259534322,-19.914530245280837,hun_aegas_tinnu,0.017698343669152905,0.11312866872907534
859,-17.697252599002425,-17.707976955447847,-17.71884005458608,-17.730097438639476,-17.7419345101427,-17.7544564678511,-18.477058793610453,-18.47471965307038,-18.47285782502435,-18.471909106275476,-18.472299523152884,-18.47443729738231,-19.09815819117003,-19.093534654194343,-19.088780340161733,-19.084191319527832,-19.0800055974849,-19.07644652681276,-19.32989846521464,-19.33049956458322,-19.32995273229075,-19.328271398803665,-19.32550378190264,-19.321690452152396,-19.306810984425823,-19.308142160950567,-19.30824767184903,-19.307144098606457,-19.30484939883253,-19.30138333858862,-19.178409708032177,-19.17980729785262,-19.1801488605755,-19.179465805828656,-19.17779370611271,-19.175173003266323,imlad_raug_gond,-0.15033598688880545,0.22124843108302628
860,-17.78770359634465,-17.882946277087704,-17.029482874564344,-16.248871235284007,-14.982877919491862,-14.71197885778316,-17.964486406809336,-18.242704301241396,-17.64702276858477,-16.786809366808733,-15.582949388090164,-15.336587181172526,-18.054494818218323,-18.491243616045388,-18.06868663353162,-17.165416811584585,-16.29170385699873,-16.012284442164407,-18.01460195256144,-18.501990904010675,-18.144371800902555,-17.275149627535008,-16.67552361817102,-16.395795420388176,-17.902474597969523,-18.38799348653054,-18.06593193668892,-17.24413935744409,-16.79105995396896,-16.544132207410577,-17.76338077006431,-18.223136272868494,-17.930077554164747,-17.165122575143222,-16.779143292696297,-16.562902530233252,imloth_hadhod_adan,-0.2770083827729053,0.003458335992675643
861,-18.2906978521425,-18.30916478851931,-18.32700136182153,-18.344200260761383,-18.36077503802585,-18.376757124763273,-19.128446797817148,-19.13191803836908,-19.134114899070894,-19.13513663158392,-19.13509771013713,-19.13412461039529,-19.813838291035538,-19.80993506414505,-19.8044985714246,-19.79769189719343,-19.78967522020659,-19.78060777618292,-20.048425438046152,-20.049191838714364,-20.048543215590954,-20.04660078965875,-20.043476567609275,-20.039273039421957,-20.02609014597121,-20.03112974480402,-20.034944322718133,-20.037584598427472,-20.03910250383666,-20.039549715776275,-19.910383446671304,-19.915714255958207,-19.920055886647265,-19.923420542219645,-19.92582240967866,-19.92727745789253,imloth_ithildin_aith,-0.12138644156915745,0.23271632712753387
862,-18.762984588948733,-18.79733947460577,-18.80460404259542,-18.786468926869013,-18.746071446061,-18.687391383573846,-19.027975241439812,-19.062235541151743,-19.062583105039415,-19.03180284122715,-18.975369387132385,-18.900060669370653,-19.317383221976097,-19.34749890255704,-19.335894066084258,-19.28754350474625,-19.21172821686094,-19.117995976825192,-19.46220050796547,-19.479932777820274,-19.46123747315739,-19.41057798688504,-19.336481558802056,-19.24578869420325,-19.462020178005837,-19.471300159941983,-19.452704741363767,-19.409192485763302,-19.34507879484249,-19.264793559912555,-19.363690694662047,-19.375881152192328,-19.363532636374806,-19.32951637117163,-19.276815184952888,-19.208423781114483,imrad_thamas_hervess,-0.10405162562794601,0.13135146529293706
863,-19.574444527342703,-19.575722078061077,-19.574015701713932,-19.569570950582506,-19.562679338509454,-19.55367645370808,-19.798435637031673,-19.798015938339276,-19.793755940928463,-19.78597330218392,-19.77501506194528,-19.76125908629777,-19.94429706713194,-19.946281538478416,-19.944380483519197,-19.93909130243212,-19.93088258958025,-19.920205232001337,-19.852386749047156,-19.858868656058977,-19.86293521753126,-19.864700304186822,-19.864327366596783,-19.86201660344865,-19.68004315273272,-19.68871030410034,-19.695838104253028,-19.70142209526645,-19.70548432961222,-19.708069269367986,-19.515820751378556,-19.524203782303317,-19.531625172072935,-19.53805105162303,-19.543460122463728,-19.547843304651025,ist_sador_bregedur,-0.30950012473331867,-0.08147712857790168
864,-17.241156786569242,-17.249111409598093,-17.250013193367145,-17.247208526512033,-17.24314314575711,-17.23820960346216,-17.389196259717146,-17.39689122363611,-17.39625543444864,-17.39205513955904,-17.388701198430788,-17.384094090097797,-17.486189246522336,-17.4926625599202,-17.487755140451064,-17.477482058667682,-17.464776203997566,-17.449719073650463,-17.461930715184742,-17.460081073322307,-17.43998665888966,-17.414092341060105,-17.392218069390616,-17.374348087759337,-17.374078717857508,-17.365893020442506,-17.337999222585687,-17.303042405019504,-17.268799279030084,-17.2364631906673,-17.241376998379913,-17.230934862483515,-17.203733592614974,-17.165916237286417,-17.12262983732675,-17.076578957279388,ithron_tirith_menel,-0.22274176520095068,-0.028543796339334904
865,-18.619607220179027,-18.636245055289443,-18.65061460967177,-18.663364178901453,-18.67345100382625,-18.68010422750188,-19.09850824941781,-19.10295127628371,-19.10348136569207,-19.100730663479133,-19.09476804778712,-19.085346531385035,-19.453525823274585,-19.450127836887027,-19.44470916982899,-19.437837853076225,-19.42679246472789,-19.40988097920718,-19.556148560920555,-19.56040740541335,-19.558660961813892,-19.55154505625963,-19.53937228624884,-19.522311426820004,-19.57142912230362,-19.574247968921135,-19.571917595525655,-19.56455326244849,-19.552351516571413,-19.535580588872698,-19.537556783541625,-19.538796999964298,-19.53544667758248,-19.52759898780706,-19.515309191558835,-19.498894572014315,lagor_aduial_Dornhoth,-0.02159207186839751,0.10687257025189467
866,-15.318864142839224,-15.235954915947351,-15.135773411069898,-15.0206683838204,-14.895378014447168,-14.763920967125507,-15.956402033943624,-15.9054719353585,-15.83877481595882,-15.758076869426496,-15.665691690997072,-15.563515652417784,-16.52979559249608,-16.50918438011879,-16.47056840629049,-16.416529591252036,-16.350620211121687,-16.275084684490388,-16.76999061186344,-16.77576507525908,-16.769373514723547,-16.7492206531982,-16.713902173074807,-16.660323757543118,-16.75832834337249,-16.762488807224763,-16.75483802071343,-16.73421715569072,-16.698500997554383,-16.645458760152557,-16.634107990335643,-16.632201905962084,-16.61913846837286,-16.59398544762103,-16.55564572013322,-16.502937711355308,lain_faradrim_inias,-0.14110571068313504,0.24234861464204016
867,-18.325161489009012,-18.33291324696922,-18.33635390041916,-18.336301970340905,-18.33355366657819,-18.328772084124815,-18.480094683461083,-18.486672701061728,-18.486931112077865,-18.481114473583837,-18.470537925673476,-18.45687894414416,-18.534108702159436,-18.53767518048054,-18.534020535076017,-18.52382764294827,-18.50867408913387,-18.490851855891343,-18.426435131448848,-18.434301302718644,-18.43684109710224,-18.435020964607155,-18.43027159079579,-18.42407070788051,-18.32114947636024,-18.33714955420071,-18.348595185460773,-18.355919085731607,-18.35952164673281,-18.359814566086904,-18.205436704909452,-18.22607418911958,-18.242557256329498,-18.25502526476115,-18.26364718232667,-18.268624453434192,law_ablad_adab,-0.166487134432316,-0.10083408337830235
868,-18.138459842920156,-18.30260411532666,-16.892815315983114,-14.98668458631964,,-16.484515945844535,-18.295213702109535,-18.589854797436203,-17.38327341060254,-16.71621773950514,-16.10607752211844,-17.05089083767311,-18.414974031578083,-18.818971021227625,-17.847809197025143,-17.522891704883875,-17.401037977156435,-17.577730795472576,-18.43011609963996,-18.815790713020917,-18.063232551061063,-17.767144146606142,-17.797130226752003,-17.836804824855918,-18.35837437634771,-18.70473445785329,-18.10139943255797,-17.72680755639753,-17.878309800905086,-17.858032050374703,-18.220365015898892,-18.556605387476196,-18.043887666811713,-17.573993293378763,-17.833381904730985,-17.788251355577387,lebdas_gwend_firiel,-0.25472251290990755,-0.0013220413573407086
869,-18.295825254362896,-18.261355496567575,-18.217317286631143,-18.16260549621252,-18.09588837376228,-18.015550488579738,-18.73732144213892,-18.722996933111332,-18.701475296547542,-18.6721387442508,-18.63425708443107,-18.586946097268665,-19.136420914473742,-19.136512261761258,-19.13027433415857,-19.117220405928776,-19.096881721587707,-19.068818723821437,-19.326037824276085,-19.330903488961,-19.32912700666641,-19.319830034573883,-19.301987058957067,-19.27482077611323,-19.352864408293044,-19.356313033399104,-19.353124900027765,-19.34243731652911,-19.323273533884446,-19.29498068733521,-19.282533074917794,-19.282293408524097,-19.275992639464008,-19.26314889896969,-19.243361951902884,-19.21637000352763,lebdas_saig_rach,-0.047966363971127635,0.19387841321133692
870,-18.24705825671655,-18.256509199228127,-18.26198431746166,-18.263564028832512,-18.261333863572126,-18.25540285228779,-18.345362931077695,-18.352865640777985,-18.35600046539215,-18.35499899908496,-18.35000976078351,-18.34106046115091,-18.378571527737613,-18.38080555464166,-18.378484516872938,-18.37214443835932,-18.362270160041156,-18.34937752908626,-18.293942751298182,-18.29724967638274,-18.2969223356639,-18.293092466248034,-18.28582076204149,-18.27507470916337,-18.137207740067375,-18.13936379623879,-18.136550357162218,-18.129276793497077,-18.117895571471617,-18.102696131638588,-17.928225999225837,-17.92957117456053,-17.926266232948898,-17.918602447562,-17.906966214003354,-17.89181793357188,lebenedh_Eru_lost,-0.3678625818840686,-0.08326154315656709
